Date,Receipt,Description,Amount
10/30/2023,,MOBILE PAYMENT - THANK YOU,-120.89
10/26/2023,,STORE               ELMONT              NY,17.18
10/23/2023,,AMZ*SNOWBITS CONFECTPAY.AMAZON.CO       WA,41.93
10/21/2023,,AMAZON.COM          AMZN.COM/BILL       WA,14.97
10/20/2023,,AMAZON MARKEPLACE NA PA,13.01
10/18/2023,,AMAZON MARKEPLACE NA PA,5.42
10/16/2023,,AMAZON MARKEPLACE NA PA,8.68
10/15/2023,,AMAZON MARKETPLACE PAMZN.COM/BILL       WA,123.57
10/15/2023,,SKIP BESTBUYCOM8067998175RICHFIELD           MN,-759.29
10/14/2023,,AMAZON SHOP WITH POINTS CREDIT,-123.57
10/11/2023,,SKIP BESTBUYCOM8067998175RICHFIELD           MN,759.29
10/11/2023,,COMMUNITY POWER LI  SAN FRANCISCO       CA,13.15
10/09/2023,,AMAZON.COM          AMZN.COM/BILL       WA,6.55
09/29/2023,,MOBILE PAYMENT - THANK YOU,-188.32
09/25/2023,,COMMUNITY POWER LI  SAN FRANCISCO       CA,11.26
09/23/2023,,AMAZON.COM          AMZN.COM/BILL       WA,5.96
09/21/2023,,STORE               NEW HYDE PARK       NY,10.96
09/20/2023,,AMAZON MARKEPLACE NA PA,10.86
09/16/2023,,AMAZON MARKEPLACE NA PA,88.21
08/31/2023,,AMZ*GROOVE VENTURES PAY.AMAZON.CO       WA,48.88
08/30/2023,,COMMUNITY POWER LI  SAN FRANCISCO       CA,12.19
08/30/2023,,MOBILE PAYMENT - THANK YOU,-714.89
08/26/2023,,AMC ONLINE 9640     LEAWOOD             KS,8.00
08/22/2023,,AMAZON.COM          AMZN.COM/BILL       WA,11.34
08/20/2023,,AMAZON.COM          AMZN.COM/BILL       WA,51.99
08/18/2023,,AMAZON MARKEPLACE NA PA,43.44
08/16/2023,,AMAZON MARKEPLACE NA PA,96.74
08/16/2023,,AMAZON MARKEPLACE NA PA,105.35
08/09/2023,,AMAZON MARKEPLACE NA PA,7.59
08/09/2023,,AMAZON.COM          AMZN.COM/BILL       WA,2.15
08/01/2023,,MOBILE PAYMENT - THANK YOU,-682.68
07/28/2023,,AIRBNB * HMDKBNZX85 SAN FRANCISCO       CA,183.78
07/27/2023,,HOTELSCOM72618065151HOTELS.COM          WA,148.96
07/27/2023,,HOTELSCOM72618075257HOTELS.COM          WA,188.07
07/27/2023,,HOTELSCOM72618087316HOTELS.COM          WA,200.22
07/25/2023,,COMMUNITY POWER LI  SAN FRANCISCO       CA,20.38
07/21/2023,,AMAZON.COM          AMZN.COM/BILL       WA,16.17
07/18/2023,,AMAZON MARKEPLACE NA PA,15.23
07/18/2023,,MINT MOBILE         COSTA MESA          CA,265.47
07/15/2023,,AMAZON.COM          AMZN.COM/BILL       WA,17.52
07/03/2023,,AMAZON.COM          AMZN.COM/BILL       WA,15.17
06/29/2023,,MOBILE PAYMENT - THANK YOU,-2340.27
06/22/2023,,AMAZON MARKEPLACE NA PA,40.18
06/22/2023,,AMAZON.COM          AMZN.COM/BILL       WA,4.21
06/22/2023,,AMAZON.COM          AMZN.COM/BILL       WA,8.20
06/21/2023,,AMAZON MARKEPLACE NA PA,16.06
06/15/2023,,AMAZON.COM          AMZN.COM/BILL       WA,12.43
06/15/2023,,AMAZON.COM          AMZN.COM/BILL       WA,41.09
06/09/2023,,AMAZON.COM          AMZN.COM/BILL       WA,61.91
06/07/2023,,SKIP BT*PARSONS XTREME GOSCOTTSDALE          AZ,2119.95
06/05/2023,,AMAZON MARKEPLACE NA PA,8.68
06/05/2023,,AMAZON.COM          AMZN.COM/BILL       WA,7.95
06/05/2023,,AMC ONLINE 9640     LEAWOOD             KS,6.00
06/02/2023,,AMAZON MARKEPLACE NA PA,13.61
05/30/2023,,MOBILE PAYMENT - THANK YOU,-2988.77
05/23/2023,,AMAZON.COM          AMZN.COM/BILL       WA,27.00
05/23/2023,,EXPEDIA 725650257334EXPEDIA.COM         WA,175.83
05/22/2023,,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-13.02
05/20/2023,,AMAZON.COM          AMZN.COM/BILL       WA,52.31
05/19/2023,,AMAZON.COM          AMZN.COM/BILL       WA,51.53
05/18/2023,,AMAZON.COM          AMZN.COM/BILL       WA,35.84
05/18/2023,,Amazon Prime        Amazon.com          WA,150.99
05/17/2023,,AMAZON MARKEPLACE NA PA,13.02
05/17/2023,,AMAZON.COM          AMZN.COM/BILL       WA,16.28
05/15/2023,,SKIP BT*PARSONS XTREME GOSCOTTSDALE          AZ,1964.94
05/14/2023,,INTUIT QUICKBOOKS   800-446-8848        CA,32.59
05/12/2023,,AMAZON.COM          AMZN.COM/BILL       WA,10.85
05/10/2023,,SIX FLAGS GREAT ADVENTURE,459.42
05/08/2023,,AMAZON MARKEPLACE NA PA,36.88
05/08/2023,,USPS.COM CLICKNSHIP 800-344-7779        DC,9.65
05/04/2023,,AMAZON MARKEPLACE NA PA,1.70
05/02/2023,,AMAZON MARKEPLACE NA PA,7.10
04/30/2023,,AMC ONLINE 9640     LEAWOOD             KS,15.00
04/30/2023,,AplPay EBAY O*10-100SAN JOSE            CA,32.53
04/29/2023,,MOBILE PAYMENT - THANK YOU,-777.64
04/28/2023,,SKIP RING PROTECT PLUS YRSANTA MONICA        CA,-91.67
04/27/2023,,SKIP RING PROTECT PLUS YRSANTA MONICA        CA,108.63
04/25/2023,,AMAZON.COM          AMZN.COM/BILL       WA,14.67
04/25/2023,,AMAZON.COM          AMZN.COM/BILL       WA,26.06
04/24/2023,,AMAZON MARKEPLACE NA PA,48.86
04/24/2023,,AMAZON.COM          AMZN.COM/BILL       WA,81.98
04/22/2023,,AMAZON.COM          AMZN.COM/BILL       WA,34.62
04/20/2023,,AplPay EBAY O*25-099SAN JOSE            CA,59.74
04/19/2023,,AMAZON MARKEPLACE NA PA,13.40
04/18/2023,,AMAZON.COM          AMZN.COM/BILL       WA,73.27
04/18/2023,,PAYPAL *AMERICAN SC 8007324135          FL,19.95
04/14/2023,,INTUIT QUICKBOOKS   800-446-8848        CA,32.59
04/14/2023,,PAYPAL *MINT MOBILE 2133727777          CA,115.20
04/09/2023,,AMAZON MARKEPLACE NA PA,19.49
04/05/2023,,AMAZON MARKEPLACE NA PA,7.14
04/05/2023,,AMAZON MARKEPLACE NA PA,14.64
04/05/2023,,AMC ONLINE 9640     LEAWOOD             KS,10.79
04/04/2023,,AMAZON MARKEPLACE NA PA,48.86
04/04/2023,,Audible             audible.com         NJ,-7.49
04/03/2023,,Audible             audible.com         NJ,7.49
04/01/2023,,AMAZON MARKEPLACE NA PA,9.77
03/31/2023,,AMAZON MARKEPLACE NA PA,9.99
03/31/2023,,AMAZON.COM          AMZN.COM/BILL       WA,8.14
03/30/2023,,MOBILE PAYMENT - THANK YOU,-4254.03
03/29/2023,,AMAZON MARKEPLACE NA PA,11.75
03/29/2023,,AplPay SONIC DRIVE IEAST MEADOW         NY,19.85
03/25/2023,,AMAZON MARKEPLACE NA PA,11.93
03/22/2023,,EDUCATION.COM       SAN MATEO           CA,59.94
03/21/2023,,MCDONALD'S 12000    SEA CLIFF           NY,12.36
03/21/2023,,SKIP RING YEARLY PLAN    SANTA MONICA        CA,-36.66
03/20/2023,,AMAZON MARKEPLACE NA PA,7.08
03/20/2023,,AplPay WALGREENS #17ELMONT              NY,19.19
03/20/2023,,SKIP RING YEARLY PLAN    SANTA MONICA        CA,39.99
03/17/2023,,AMAZON.COM          AMZN.COM/BILL       WA,5.40
03/17/2023,,AMAZON.COM          AMZN.COM/BILL       WA,10.84
03/17/2023,,WALMART.COM         800-966-6546        AR,-20.63
03/16/2023,,AMAZON MARKEPLACE NA PA,27.63
03/14/2023,,INTUIT QUICKBOOKS   800-446-8848        CA,32.07
03/13/2023,,AMAZON MARKEPLACE NA PA,20.58
03/12/2023,,AMZ*SHOP PREMIUM OUTPAY.AMAZON.CO       WA,71.70
03/11/2023,,SKIP BT*PARSONS XTREME GOSCOTTSDALE          AZ,3938.84
03/10/2023,,AMAZON MARKEPLACE NA PA,1.90
03/06/2023,,AplPay TEMU.COM     WILMINGTON          DE,20.65
03/04/2023,,AMAZON MARKEPLACE NA PA,15.23
03/01/2023,,AMAZON MARKEPLACE NA PA,4.24
02/27/2023,,MOBILE PAYMENT - THANK YOU,-777.66
02/25/2023,,AMAZON MARKEPLACE NA PA,42.33
02/24/2023,,AMAZON MARKEPLACE NA PA,30.38
02/23/2023,,AMAZON MARKEPLACE NA PA,6.51
02/23/2023,,AMAZON MARKEPLACE NA PA,12.17
02/23/2023,,AMAZON MARKEPLACE NA PA,21.50
02/23/2023,,AMAZON MARKEPLACE NA PA,21.67
02/23/2023,,AMAZON MARKEPLACE NA PA,52.04
02/22/2023,,AMAZON MARKEPLACE NA PA,11.18
02/22/2023,,AMAZON.COM          AMZN.COM/BILL       WA,-16.66
02/21/2023,,AMAZON MARKEPLACE NA PA,13.73
02/21/2023,,AMAZON MARKEPLACE NA PA,18.46
02/20/2023,,WALMART.COM         800-966-6546        AR,20.63
02/19/2023,,AMAZON MARKEPLACE NA PA,6.51
02/19/2023,,AMAZON MARKEPLACE NA PA,13.02
02/19/2023,,AMAZON MARKEPLACE NA PA,19.12
02/19/2023,,AMAZON MARKEPLACE NA PA,27.03
02/18/2023,,AMAZON MARKEPLACE NA PA,36.46
02/18/2023,,WALMART.COM 80096665BENTONVILLE         AR,21.42
02/15/2023,,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-209.61
02/15/2023,,AplPay TACO BELL    NEW HYDE PARK       NY,5.54
02/14/2023,,AMAZON MARKEPLACE NA PA,45.60
02/14/2023,,INTUIT QUICKBOOKS   800-446-8848        CA,16.29
02/13/2023,,AplPay CROCS RETAIL NIWOT               CO,63.69
02/13/2023,,WALMART.COM 80096665BENTONVILLE         AR,35.96
02/10/2023,,AMAZON.COM          AMZN.COM/BILL       WA,5.60
02/10/2023,,AMAZON.COM          AMZN.COM/BILL       WA,16.66
02/09/2023,,AMAZON.COM          AMZN.COM/BILL       WA,43.44
02/08/2023,,AMAZON MARKEPLACE NA PA,10.30
02/08/2023,,AMC ONLINE 9640     LEAWOOD             KS,13.00
02/08/2023,,AplPay WENDYS 2465 0FRANKLIN SQUA       NY,19.55
02/06/2023,,AMAZON.COM          AMZN.COM/BILL       WA,131.53
02/01/2023,,AplPay BURGER KING  GARDEN CITY PARK    NY,13.00
01/30/2023,,AMAZON MARKEPLACE NA PA,209.61
01/30/2023,,MOBILE PAYMENT - THANK YOU,-2155.74
01/29/2023,,AMAZON MARKEPLACE NA PA,13.02
01/28/2023,,AplPay TACO BELL    NEW HYDE PARK       NY,5.43
01/28/2023,,WALMART.COM 80096665BENTONVILLE         AR,292.20
01/25/2023,,BT*SMF*CHINASTH AIR SAN DIEGO           CA,1444.20
01/23/2023,,AMAZON MARKEPLACE NA PA,16.02
01/22/2023,,AMAZON MARKEPLACE NA PA,19.37
01/18/2023,,AMAZON.COM          AMZN.COM/BILL       WA,52.61
01/18/2023,,AplPay TACO BELL    NEW HYDE PARK       NY,5.54
01/17/2023,,AMAZON.COM          AMZN.COM/BILL       WA,13.62
01/16/2023,,AplPay WALGREENS    GARDEN CITY PARK    NY,7.97
01/14/2023,,H MART - WILLISTON PWILLISTON PAR       NY,12.99
01/14/2023,,INTUIT QUICKBOOKS   800-446-8848        CA,16.29
01/12/2023,,PAYPAL *MINT MOBILE 2133727777          CA,115.19
01/11/2023,,POPEYES 2415 0000   QUEENS VILLAG       NY,10.88
01/08/2023,,AplPay IKEA LONG ISLHICKSVILLE          NY,4.35
01/08/2023,,MCDONALD'S          NEW HYDE PARK       NY,6.40
01/06/2023,,AplPay T.J. MAXX #15ELMONT              NY,29.33
01/05/2023,,AplPay WALGREENS.COM877-250-5823        IL,31.94
01/04/2023,,DOMINO'S PIZZA      NEW HYDE PARK       NY,15.19
01/03/2023,,NESPRESSO USA INC   WILMINGTON          DE,41.00
